一级分类,二级分类,网页链接,从第几页开始,到第几页为止
Boots,机车靴,https://www.farfetch.com/cn/shopping/women/biker-boots-1/items.aspx,1,5
Boots,及膝靴,https://www.farfetch.com/cn/shopping/women/knee-high-boots-1/items.aspx,1,23
Boots,过膝靴,https://www.farfetch.com/cn/shopping/women/over-the-knee-boots-1/items.aspx,1,5
Boots,及踝靴,https://www.farfetch.com/cn/shopping/women/ankle-boots-1/items.aspx,1,56
Boots,切尔西靴,https://www.farfetch.com/cn/shopping/women/chelsea-boots-1/items.aspx,1,11
Boots,工装靴,https://www.farfetch.com/cn/shopping/women/combat-boots-1/items.aspx,1,11
Boots,牛仔靴,https://www.farfetch.com/cn/shopping/women/cowboy-boots-1/items.aspx,1,6
Boots,雨靴和雪靴,https://www.farfetch.com/cn/shopping/women/rain-snow-boots-1/items.aspx,1,5
穆勒鞋,平底穆勒鞋,https://www.farfetch.com/cn/shopping/women/flat-mules-1/items.aspx,1,11
穆勒鞋,高跟穆勒鞋,https://www.farfetch.com/cn/shopping/women/heeled-mules-1/items.aspx,1,15
草编鞋,平底草编鞋,https://www.farfetch.com/cn/shopping/women/flat-espadrilles-1/items.aspx,1,4
草编鞋,高跟草编鞋,https://www.farfetch.com/cn/shopping/women/heeled-espadrilles-1/items.aspx,1,6
高跟鞋,平底鞋,https://www.farfetch.com/cn/shopping/women/flat-pumps-1/items.aspx,1,6
高跟鞋,高跟鞋,https://www.farfetch.com/cn/shopping/women/heeled-pumps-1/items.aspx,1,77
凉鞋,平底凉鞋,https://www.farfetch.com/cn/shopping/women/flat-sandals-1/items.aspx,1,48
凉鞋,高跟凉鞋,https://www.farfetch.com/cn/shopping/women/heeled-sandals-1/items.aspx,1,92
运动鞋,低帮鞋,https://www.farfetch.com/cn/shopping/women/low-tops-1/items.aspx,1,294
运动鞋,高帮鞋,https://www.farfetch.com/cn/shopping/women/high-tops-1/items.aspx,1,45
运动鞋,套穿鞋,https://www.farfetch.com/cn/shopping/women/slip-ons-1/items.aspx,1,9
德比鞋和牛津鞋,德比鞋和牛津鞋,https://www.farfetch.com/cn/shopping/women/derby-oxford-shoes-1/items.aspx,1,8
人字拖和拖鞋,人字拖和拖鞋,https://www.farfetch.com/cn/shopping/women/flip-flops-slides-1/items.aspx,1,21
乐福鞋,乐福鞋,https://www.farfetch.com/cn/shopping/women/loafers-1/items.aspx,1,38
拖鞋,拖鞋,https://www.farfetch.com/cn/shopping/women/slippers-1/items.aspx,1,9
芭蕾平底鞋,芭蕾平底鞋,https://www.farfetch.com/cn/shopping/women/ballet-flats-1/items.aspx,1,37
鞋履配饰,鞋履配饰,https://www.farfetch.com/cn/shopping/women/shoe-accessories-1/items.aspx,1,1
