一级分类,二级分类,网页链接,从第几页开始,到第几页为止
西装,晚宴西装套装,https://www.farfetch.com/cn/shopping/women/evening-suits-1/items.aspx,1,1
西装,西装上装,https://www.farfetch.com/cn/shopping/women/suit-jackets-1/items.aspx,1,1
西装,西装半身裙,https://www.farfetch.com/cn/shopping/women/skirt-suit-1/items.aspx,1,1
西装,西装裤套装,https://www.farfetch.com/cn/shopping/women/trouser-suit-1/items.aspx,1,1
西装,西装长裤,https://www.farfetch.com/cn/shopping/women/suit-trousers-1/items.aspx,1,1
牛仔服装,牛仔夹克,https://www.farfetch.com/cn/shopping/women/denim-jackets-1/items.aspx,1,1
牛仔服装,牛仔打底裤,https://www.farfetch.com/cn/shopping/women/denim-leggings-1/items.aspx,1,1
外套,军旅风外套,https://www.farfetch.com/cn/shopping/women/military-coats-1/items.aspx,1,1
针织衫,开襟外套,https://www.farfetch.com/cn/shopping/women/cardi-coat-1/items.aspx,1,1
针织衫,针织长裤,https://www.farfetch.com/cn/shopping/women/knitwear-leggings-1/items.aspx,1,1
针织衫,针织半身裙,https://www.farfetch.com/cn/shopping/women/knitwear-skirt-1/items.aspx,1,1
连衣裙,新娘礼服,https://www.farfetch.com/cn/shopping/women/bridal-dresses-1/items.aspx,1,2
连衣裙,沙滩连衣裙,https://www.farfetch.com/cn/shopping/women/beach-dresses-1/items.aspx,1,2
上衣,蕾丝衫/雪纺衫,https://www.farfetch.com/cn/shopping/women/tunic-kaftan-1/items.aspx,1,2
短裤,皮质和人造皮革短裤,https://www.farfetch.com/cn/shopping/women/leather-shorts-1/items.aspx,1,2
裤子,紧身裤,https://www.farfetch.com/cn/shopping/women/skinny-trousers-1/items.aspx,1,3
牛仔服装,牛仔半身裙,https://www.farfetch.com/cn/shopping/women/denim-skirts-1/items.aspx,1,3
夹克,军旅风夹克,https://www.farfetch.com/cn/shopping/women/military-jackets-1/items.aspx,1,3
外套,斗篷,https://www.farfetch.com/cn/shopping/women/cape-cloaks-1/items.aspx,1,3
外套,皮衣,https://www.farfetch.com/cn/shopping/women/leather-coats-1/items.aspx,1,3
针织衫,针织连衣裙,https://www.farfetch.com/cn/shopping/women/knitwear-dress-1/items.aspx,1,3
连体衣/裤,连体短裤,https://www.farfetch.com/cn/shopping/women/playsuits-1/items.aspx,1,3
沙滩装,沙滩连衣裙,https://www.farfetch.com/cn/shopping/women/beach-dresses-3/items.aspx,1,3
沙滩装,沙滩配饰,https://www.farfetch.com/cn/shopping/women/beach-accessories-1/items.aspx,1,3
牛仔服装,男友风牛仔裤,https://www.farfetch.com/cn/shopping/women/boyfriend-denim-1/items.aspx,1,4
牛仔服装,牛仔短裤,https://www.farfetch.com/cn/shopping/women/denim-shorts-1/items.aspx,1,4
夹克,机车夹克,https://www.farfetch.com/cn/shopping/women/biker-jackets-1/items.aspx,1,4
夹克,披风和斗篷,https://www.farfetch.com/cn/shopping/women/cape-1/items.aspx,1,4
