一级分类,二级分类,网页链接,从第几页开始,到第几页为止
连衣裙,新娘礼服,https://www.farfetch.com/cn/shopping/women/bridal-dresses-1/items.aspx,1,2
连衣裙,沙滩连衣裙,https://www.farfetch.com/cn/shopping/women/beach-dresses-1/items.aspx,1,2
裤子,打底裤,https://www.farfetch.com/cn/shopping/women/leggings-1/items.aspx,1,3
上装,T恤,https://www.farfetch.com/cn/shopping/women/t-shirts-jersey-1/items.aspx,1,3
夹克,皮夹克,https://www.farfetch.com/cn/shopping/women/leather-jackets-1/items.aspx,1,2
半身裙,高腰半身裙,https://www.farfetch.com/cn/shopping/women/high-waisted-skirts-1/items.aspx,1,2
外套,风衣,https://www.farfetch.com/cn/shopping/women/trench-raincoat-1/items.aspx,1,2
针织衫,毛衣,https://www.farfetch.com/cn/shopping/women/knitwear-sweaters-1/items.aspx,1,2
短裤,迷你短裤,https://www.farfetch.com/cn/shopping/women/mini-shorts-1/items.aspx,1,2
沙滩装,比基尼,https://www.farfetch.com/cn/shopping/women/bikinis-1/items.aspx,1,2
